S No,Customer Enquiry Description,GGPL Quote Description (Ground Truth),TYPE OF PRODUCT,NON STANDARD
1,"NPS 1, CNAF Flat Ring Gaskets, Cl. 150, as per ASME B16.21 for B16.5 flanges","SIZE : 1"" X 150# X 3MM THK ,CNAF ,RF ,ASME B16.21",Soft Cut,
2,"NPS 1.5, CNAF Flat Ring Gaskets, Cl. 150, as per ASME B16.21 for B16.5flanges","SIZE : 1.5"" X 150# X 3MM THK ,CNAF ,RF ,ASME B16.21",Soft Cut,
3,"NPS 2, CNAF Flat Ring Gaskets, Cl. 150, as per ASME B16.21 for B16.5 flanges","SIZE : 2"" X 150# X 3MM THK ,CNAF ,RF ,ASME B16.21",Soft Cut,
4,"NPS 3, CNAF Flat Ring Gaskets, Cl. 150, as per ASME B16.21 for B16.5 flanges","SIZE : 3"" X 150# X 3MM THK ,CNAF ,RF ,ASME B16.21",Soft Cut,
5,"NPS 4, CNAF Flat Ring Gaskets, Cl. 150, as per ASME B16.21 for B16.5 flanges","SIZE : 4"" X 150# X 3MM THK ,CNAF ,RF ,ASME B16.21",Soft Cut,
6,"NPS 6, CNAF Flat Ring Gaskets, Cl. 150, as per ASME B16.21 for B16.5 flanges","SIZE : 6"" X 150# X 3MM THK ,CNAF ,RF ,ASME B16.21",Soft Cut,
7,"NPS 8, CNAF Flat Ring Gaskets, Cl. 150, as per ASME B16.21 for B16.5 flanges","SIZE : 8"" X 150# X 3MM THK ,CNAF ,RF ,ASME B16.21",Soft Cut,
10,"NPS 2, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner& outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
11,"NPS 1, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges, NACE MR 0175/ ISO 15156, Lethal","SIZE : 1"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
12,"NPS 1.5, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges","SIZE : 1.5"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
13,"NPS 2, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
14,"NPS 3, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges","SIZE : 3"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
15,"NPS 4, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges","SIZE : 4"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
16,"NPS 6, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges","SIZE : 6"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
17,"NPS 10, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges","SIZE : 10"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
18,"NPS 16, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges","SIZE : 16"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
19,"NPS 18, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges","SIZE : 18"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
20,"NPS 20, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges","SIZE : 20"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
21,"NPS 24, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges","SIZE : 24"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
22,"NPS 2, Gasket, Cl.150, Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, CL.150 as per ASME B16.20 for B16.5 flanges","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
23,"NPS 1, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges, NACE MR 0175/ ISO 15156","SIZE : 1"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
24,"NPS 1.5, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges, NACE MR 0175/ ISO 15156","SIZE : 1.5"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
25,"NPS 2, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges, NACE MR 0175/ ISO 15156","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
26,"NPS 3, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges, NACE MR 0175/ ISO 15156","SIZE : 3"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
61,"NPS 2, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 2"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
62,"NPS 4, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 4"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
63,"NPS 6, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 6"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
64,"NPS 10, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 10"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
65,"NPS 12, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 12"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
66,"NPS 18, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.5 flanges","SIZE : 18"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
67,"NPS 36, Gasket Spiral wound, SS316 with flexible graphite filler, SS 316 inner & outer ring, Cl.150 as per ASME B16.20 for B16.47 Sr. A flanges","SIZE : 36"" X 150# X 4.5MM THK ,SS316 SPIRAL WOUND GASKET WITH FLEXIBLE GRAPHITE FILLER + SS316 INNER RING & SS316 OUTER RING ASME B16.20 ( LOW STRESS )",SPW,
